"nodeID_from","nodeID_to","mode","line","year"
2,29,"heavy_rail","3642-line-2",2019
22,29,"heavy_rail","3642-line-2",2019
31,41,"heavy_rail","3641-line-1",2017
45,54,"heavy_rail","3641-line-1",2017
59,68,"heavy_rail","3643-line-3",2021
